"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","Cpd.Hits"
"Glutathione metabolism","28","9","2","3.5756","0.88949","0.98146","0.20563","35","0.35","P38","C00025;C01879"
"Pentose phosphate pathway","23","14","3","2.9371","0.92673","0.98242","0.20856","2","0.02","P39","C01801;C00118;C00258"
"Nicotinate and nicotinamide metabolism","15","10","2","1.9155","0.92288","0.98816","0.22997","14","0.14","P40","C03150;C00153"
"Pyrimidine metabolism","39","17","3","4.9804","0.97314","0.99461","0.27123","64","0.64","P41","C00178;C00106;C01205"
"Metabolism of xenobiotics by cytochrome P450","64","26","5","8.1729","0.98186","0.99482","0.27333","9","0.09","P42","C07535;C03012;C14801;C19566;C19563"
"Purine metabolism","71","23","2","9.0668","0.99957","0.99997","0.49293","28","0.28","P43","C05512;C00262"
"Steroid hormone biosynthesis","79","55","5","10.088","1","1","0.67906","5","0.05","P44","C01953;C05476;C03681;C02538;C02373;C04042;C05479;C18042"
"Pentose and glucuronate interconversions","19","7","1","2.4263","0.9556","1","1","35","0.35","P45","C00191;C00618"
"Fatty acid degradation","39","2","1","4.9804","0.58716","1","1","3","0.03","P46","C03547"
"Primary bile acid biosynthesis","46","7","1","5.8743","0.9556","1","1","4","0.04","P47","C17337"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","1","0.51081","0.83026","1","1","88","0.88","P48","C00082"
"Phosphonate and phosphinate metabolism","6","1","1","0.76621","0.35714","1","1","3","0.03","P49","C06459"
"Ether lipid metabolism","20","2","1","2.554","0.58716","1","1","25","0.25","P50","C00670"
"Linoleic acid metabolism","5","4","1","0.63851","0.83026","1","1","12","0.12","P51","C14825;C14826"
"alpha-Linolenic acid metabolism","13","1","1","1.6601","0.35714","1","1","0","0","P52","C06427"
"Sphingolipid metabolism","32","6","1","4.0864","0.9305","1","1","22","0.22","P53","C00319;C02934;C12144"
"Riboflavin metabolism","4","1","1","0.51081","0.35714","1","1","25","0.25","P54","C00255"
"Biotin metabolism","10","2","1","1.277","0.58716","1","1","32","0.32","P55","C00047"
"Folate biosynthesis","27","10","1","3.4479","0.98849","1","1","12","0.12","P56","C04874"
"Terpenoid backbone biosynthesis","18","3","1","2.2986","0.73514","1","1","23","0.23","P57","C19691"
"Nitrogen metabolism","6","2","1","0.76621","0.58716","1","1","62","0.62","P58","C00025"
